"n","j","k","m","index_form","theta","n_failed","mean_reference","mean_index","sd_index","auc","power"
100,3,3,5,"mixed",0.1,0,1.28765688348367,1.27532571625969,0.0725298818656851,0.4632,0.05
100,3,3,5,"mixed",1,0,1.28765688348367,1.52759254697459,0.0944479723600351,0.9756,0.93
100,3,3,5,"mixed",10,0,1.28765688348367,3.47936729529488,0.139183996980848,1,1
100,3,3,5,"mixed_population",0.1,0,1.28753136758698,1.27513093783636,0.0722756062295287,0.4634,0.05
100,3,3,5,"mixed_population",1,0,1.28753136758698,1.52423334280406,0.0904951125623211,0.9752,0.93
100,3,3,5,"mixed_population",10,0,1.28753136758698,2.97749148047876,0.0726453877193173,1,1
100,3,3,5,"multinomial",0.1,0,1.29236656271301,1.28000435457695,0.0731978595226506,0.4634,0.05
100,3,3,5,"multinomial",1,0,1.29236656271301,1.53186711267328,0.0908933357214325,0.9761,0.94
100,3,3,5,"multinomial",10,0,1.29236656271301,3.00104728381433,0.0716931131661612,1,1
100,3,3,15,"mixed",0.1,0,1.79567505690199,1.82751429560205,0.113378602668877,0.581,0.04
100,3,3,15,"mixed",1,0,1.79567505690199,2.71431009713703,0.192878414839845,1,1
100,3,3,15,"mixed",10,0,1.79567505690199,9.746824637464,0.456876467275686,1,1
100,3,3,15,"mixed_population",0.1,0,1.79547719696019,1.82738952183994,0.113331437194585,0.5812,0.04
100,3,3,15,"mixed_population",1,0,1.79547719696019,2.68101364560666,0.182691688709772,1,1
100,3,3,15,"mixed_population",10,0,1.79547719696019,7.87891569590273,0.221842352784023,1,1
100,3,3,15,"multinomial",0.1,0,1.79842816996345,1.83056385812997,0.113948078268755,0.5811,0.05
100,3,3,15,"multinomial",1,0,1.79842816996345,2.66865266721938,0.178938506480532,1,1
100,3,3,15,"multinomial",10,0,1.79842816996345,7.9083792423502,0.214939727190798,1,1
100,3,3,30,"mixed",0.1,0,2.57570754959183,2.59887584708445,0.176569001118252,0.5242,0.04
100,3,3,30,"mixed",1,0,2.57570754959183,4.51557056270677,0.302084934125225,1,1
100,3,3,30,"mixed",10,0,2.57570754959183,19.1066001606039,0.882943686147241,1,1
100,3,3,30,"mixed_population",0.1,0,2.57564626923207,2.59879017471872,0.176513079434147,0.5241,0.04
100,3,3,30,"mixed_population",1,0,2.57564626923207,4.4587210918498,0.290408144836701,1,1
100,3,3,30,"mixed_population",10,0,2.57564626923207,15.2185370783064,0.406592077108068,1,1
100,3,3,30,"multinomial",0.1,0,2.57800350833359,2.60111925872731,0.177136486708617,0.5247,0.04
100,3,3,30,"multinomial",1,0,2.57800350833359,4.41214732417378,0.28626328783646,1,1
100,3,3,30,"multinomial",10,0,2.57800350833359,15.2546747620462,0.432596686173846,1,1
100,3,6,5,"mixed",0.1,0,1.26207705614738,1.27076946477114,0.0540223468494197,0.5451,0.09
100,3,6,5,"mixed",1,0,1.26207705614738,1.51724807888466,0.0634381740411503,0.9999,1
100,3,6,5,"mixed",10,0,1.26207705614738,3.16163061915184,0.0724410939692192,1,1
100,3,6,5,"mixed_population",0.1,0,1.26185412783441,1.27057567360877,0.0539078065700519,0.5454,0.09
100,3,6,5,"mixed_population",1,0,1.26185412783441,1.51563784778485,0.063196706104107,0.9999,1
100,3,6,5,"mixed_population",10,0,1.26185412783441,2.96104660018787,0.0555926324459935,1,1
100,3,6,5,"multinomial",0.1,0,1.26792155698346,1.27652530932877,0.0543812779712116,0.5462,0.09
100,3,6,5,"multinomial",1,0,1.26792155698346,1.52340701203892,0.0640301800495362,0.9999,1
100,3,6,5,"multinomial",10,0,1.26792155698346,2.99750315614537,0.0565368578105194,1,1
100,3,6,15,"mixed",0.1,0,1.80598139764437,1.79557522074183,0.0841328695635944,0.4415,0.14
100,3,6,15,"mixed",1,0,1.80598139764437,2.68309666702352,0.145069639123056,1,1
100,3,6,15,"mixed",10,0,1.80598139764437,8.6278131683817,0.219854664670979,1,1
100,3,6,15,"mixed_population",0.1,0,1.80591817887173,1.79552034081906,0.0840968423584093,0.4414,0.14
100,3,6,15,"mixed_population",1,0,1.80591817887173,2.66787354576473,0.140556445068037,1,1
