"n","j","k","m","theta","replication","index_form","index"
100,3,3,5,0.01,34,"multinomial",1.26891952470746
100,3,3,5,0.01,34,"mixed",1.26189653972854
100,3,3,5,0.01,34,"mixed_population",1.2618967148063
100,3,3,5,0.01,35,"multinomial",1.35269401581822
100,3,3,5,0.01,35,"mixed",1.35060050658066
100,3,3,5,0.01,35,"mixed_population",1.35060050226727
100,3,3,5,0.01,36,"multinomial",1.23376154573389
100,3,3,5,0.01,36,"mixed",1.22654582678591
100,3,3,5,0.01,36,"mixed_population",1.22654476262161
100,3,3,5,0.01,37,"multinomial",1.34069051835255
100,3,3,5,0.01,37,"mixed",1.33916136887637
100,3,3,5,0.01,37,"mixed_population",1.3391614603812
100,3,3,5,0.01,38,"multinomial",1.26317028006767
100,3,3,5,0.01,38,"mixed",1.2594161649161
100,3,3,5,0.01,38,"mixed_population",1.2594161595053
100,3,3,5,0.01,39,"multinomial",1.22636031091534
100,3,3,5,0.01,39,"mixed",1.22021623802755
100,3,3,5,0.01,39,"mixed_population",1.22021623707773
100,3,3,5,0.01,40,"multinomial",1.20472916752157
100,3,3,5,0.01,40,"mixed",1.20005973949211
100,3,3,5,0.01,40,"mixed_population",1.20005973626949
100,3,3,5,0.01,41,"multinomial",1.25557987603386
100,3,3,5,0.01,41,"mixed",1.25146402103299
100,3,3,5,0.01,41,"mixed_population",1.25146402111271
100,3,3,5,0.01,42,"multinomial",1.29683856397699
100,3,3,5,0.01,42,"mixed",1.29691443124218
100,3,3,5,0.01,42,"mixed_population",1.29691443159815
100,3,3,5,0.01,43,"multinomial",1.40324559125998
100,3,3,5,0.01,43,"mixed",1.39656039836524
100,3,3,5,0.01,43,"mixed_population",1.39656027816087
100,3,3,5,0.01,44,"multinomial",1.23124880034607
100,3,3,5,0.01,44,"mixed",1.22692154771999
100,3,3,5,0.01,44,"mixed_population",1.22692103648865
100,3,3,5,0.01,45,"multinomial",1.28358580684626
100,3,3,5,0.01,45,"mixed",1.28061003672764
100,3,3,5,0.01,45,"mixed_population",1.28061009270876
100,3,3,5,0.01,46,"multinomial",1.25451128023455
100,3,3,5,0.01,46,"mixed",1.25455372032963
100,3,3,5,0.01,46,"mixed_population",1.25375777265505
100,3,3,5,0.01,47,"multinomial",1.1988826967511
100,3,3,5,0.01,47,"mixed",1.19277557021749
100,3,3,5,0.01,47,"mixed_population",1.1927755370531
100,3,3,5,0.01,48,"multinomial",1.34369684742686
100,3,3,5,0.01,48,"mixed",1.33553307878131
100,3,3,5,0.01,48,"mixed_population",1.33553307955695
100,3,3,5,0.01,49,"multinomial",1.37924906610438
100,3,3,5,0.01,49,"mixed",1.37375899592896
100,3,3,5,0.01,49,"mixed_population",1.37375891652252
100,3,3,5,0.01,50,"multinomial",1.23139072027878
100,3,3,5,0.01,50,"mixed",1.22940403963141
100,3,3,5,0.01,50,"mixed_population",1.22940366378576
100,3,3,5,0.01,51,"multinomial",1.35737429486586
100,3,3,5,0.01,51,"mixed",1.34196452102354
100,3,3,5,0.01,51,"mixed_population",1.34196452094358
100,3,3,5,0.01,52,"multinomial",1.32763371032583
100,3,3,5,0.01,52,"mixed",1.32340919824019
100,3,3,5,0.01,52,"mixed_population",1.32340920044417
100,3,3,5,0.01,53,"multinomial",1.43443311042262
100,3,3,5,0.01,53,"mixed",1.4308597293742
100,3,3,5,0.01,53,"mixed_population",1.43085989382973
100,3,3,5,0.01,54,"multinomial",1.43675626793222
100,3,3,5,0.01,54,"mixed",1.42937442000771
100,3,3,5,0.01,54,"mixed_population",1.42937441965395
100,3,3,5,0.01,55,"multinomial",1.2732291864022
100,3,3,5,0.01,55,"mixed",1.26841746708288
100,3,3,5,0.01,55,"mixed_population",1.26841746344556
100,3,3,5,0.01,56,"multinomial",1.27722007211212
100,3,3,5,0.01,56,"mixed",1.2718795232564
100,3,3,5,0.01,56,"mixed_population",1.27187976616039
100,3,3,5,0.01,57,"multinomial",1.2944824975235
100,3,3,5,0.01,57,"mixed",1.28558230967325
100,3,3,5,0.01,57,"mixed_population",1.28558230984833
100,3,3,5,0.01,58,"multinomial",1.318989811666
100,3,3,5,0.01,58,"mixed",1.30766102060795
100,3,3,5,0.01,58,"mixed_population",1.3076615363212
100,3,3,5,0.01,59,"multinomial",1.39908745753321
100,3,3,5,0.01,59,"mixed",1.39070989478065
100,3,3,5,0.01,59,"mixed_population",1.39070989802504
100,3,3,5,0.01,60,"multinomial",1.21469822785101
100,3,3,5,0.01,60,"mixed",1.20823929452763
100,3,3,5,0.01,60,"mixed_population",1.20823930829519
100,3,3,5,0.01,61,"multinomial",1.28399073097185
100,3,3,5,0.01,61,"mixed",1.27897035476927
100,3,3,5,0.01,61,"mixed_population",1.27897036401413
100,3,3,5,0.01,62,"multinomial",1.41537603813654
100,3,3,5,0.01,62,"mixed",1.41210491767275
100,3,3,5,0.01,62,"mixed_population",1.41210453477965
100,3,3,5,0.01,63,"multinomial",1.32458709134426
